Component#1,Component#2,Smiles#1,Smiles#2,Refractive_index,MorganFP1_1,MorganFP45_1,MorganFP80_1,MorganFP89_1,MorganFP116_1,MorganFP117_1,MorganFP222_1,MorganFP283_1,MorganFP294_1,MorganFP319_1,MorganFP370_1,MorganFP379_1,MorganFP389_1,MorganFP390_1,MorganFP414_1,MorganFP511_1,MorganFP565_1,MorganFP591_1,MorganFP780_1,MorganFP784_1,MorganFP794_1,MorganFP913_1,MorganFP1057_1,MorganFP1066_1,MorganFP1069_1,MorganFP1082_1,MorganFP1444_1,MorganFP1448_1,MorganFP1525_1,MorganFP1838_1,MorganFP1866_1,MorganFP1944_1,MorganFP1_2,MorganFP2_2,MorganFP13_2,MorganFP28_2,MorganFP44_2,MorganFP65_2,MorganFP70_2,MorganFP80_2,MorganFP108_2,MorganFP114_2,MorganFP127_2,MorganFP130_2,MorganFP140_2,MorganFP144_2,MorganFP171_2,MorganFP216_2,MorganFP222_2,MorganFP227_2,MorganFP235_2,MorganFP283_2,MorganFP305_2,MorganFP319_2,MorganFP325_2,MorganFP389_2,MorganFP396_2,MorganFP410_2,MorganFP473_2,MorganFP475_2,MorganFP482_2,MorganFP540_2,MorganFP650_2,MorganFP667_2,MorganFP670_2,MorganFP739_2,MorganFP745_2,MorganFP768_2,MorganFP786_2,MorganFP813_2,MorganFP880_2,MorganFP900_2,MorganFP913_2,MorganFP929_2,MorganFP981_2,MorganFP1017_2,MorganFP1057_2,MorganFP1060_2,MorganFP1088_2,MorganFP1130_2,MorganFP1171_2,MorganFP1287_2,MorganFP1295_2,MorganFP1313_2,MorganFP1331_2,MorganFP1380_2,MorganFP1517_2,MorganFP1649_2,MorganFP1664_2,MorganFP1683_2,MorganFP1737_2,MorganFP1750_2,MorganFP1844_2,MorganFP1911_2,MorganFP1917_2,MorganFP1977_2,MorganFP2017_2,MorganFP2038_2,X#1,X#2,"T, K"
2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,C[N+](C)(C)CCO.[Cl-],CCC(=O)O,1.4482,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3333,0.6667,298.15
2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,C[N+](C)(C)CCO.[Cl-],CCC(=O)O,1.4472,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3333,0.6667,303.15
2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,C[N+](C)(C)CCO.[Cl-],CCC(=O)O,1.4453,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3333,0.6667,313.15
2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,C[N+](C)(C)CCO.[Cl-],CCC(=O)O,1.4444,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3333,0.6667,318.15
2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,C[N+](C)(C)CCO.[Cl-],CCC(=O)O,1.4434,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3333,0.6667,323.15
2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,C[N+](C)(C)CCO.[Cl-],CCC(=O)O,1.4425,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3333,0.6667,328.15
2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,C[N+](C)(C)CCO.[Cl-],CCC(=O)O,1.4415,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3333,0.6667,333.15
2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,C[N+](C)(C)CCO.[Cl-],CCC(=O)O,1.4406,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3333,0.6667,338.15
2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,1.5189,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3333,0.6667,288.15
2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,1.5167,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3333,0.6667,298.15
2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,1.5155,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3333,0.6667,303.15
2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,1.5144,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3333,0.6667,308.15
2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,1.512,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3333,0.6667,318.15
2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,1.5108,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3333,0.6667,323.15
2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,1.5096,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3333,0.6667,328.15
2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,1.5084,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3333,0.6667,333.15
2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O,1.4934,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.3333,0.6667,288.15
2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O,1.492,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.3333,0.6667,293.15
2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O,1.4907,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.3333,0.6667,298.15
2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O,1.4894,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.3333,0.6667,303.15
2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O,1.4881,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.3333,0.6667,308.15
2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O,1.4854,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.3333,0.6667,318.15
2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O,1.4841,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.3333,0.6667,323.15
2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O,1.4814,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.3333,0.6667,333.15
2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O,1.48,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.3333,0.6667,338.15
2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O,1.48441,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.5,0.5,293.15
2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O,1.4833,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.5,0.5,298.15
2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O,1.48093,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.5,0.5,308.15
2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O,1.47971,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.5,0.5,313.15
2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O,1.47853,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.5,0.5,318.15
2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O,1.47616,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.5,0.5,328.15
